image,subject,batch,reason
images/batch1/subject_sub-016_frame_043194.jpg,sub-016,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_010251.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_013343.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_016435.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_019527.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_022620.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_033435.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_036524.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_039612.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_042701.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-024_frame_059516.jpg,sub-024,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_014490.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_017672.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_020855.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_024038.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_027220.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_046450.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-027_frame_049663.jpg,sub-027,batch1,missing_label_review_required
images/batch1/subject_sub-029_frame_051487.jpg,sub-029,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_012844.jpg,sub-030,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_016074.jpg,sub-030,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_019304.jpg,sub-030,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_022533.jpg,sub-030,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_025763.jpg,sub-030,batch1,missing_label_review_required
images/batch1/subject_sub-030_frame_069384.jpg,sub-030,batch1,missing_label_review_required
