subject,block,backend,sequence_id,eye,frame_offset,frame_idx,unix_ms,face_detected,face_status,roi_status,image_status,error_code,roi_path,source_width,source_height,source_to_roi_affine,roi_to_source_affine,roi_corners_source,normalized_canthi,canthi_source,reference_kind,locator_box_source,reference_points_source,normalized_reference_points,ear,baseline_open_ear,openness,visible_proxy,p80_closed_proxy,visibility_source
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,0,9441,1786791952687,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,0,9441,1786791952687,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,1,9442,1786791952693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,1,9442,1786791952693,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,2,9443,1786791952734,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,2,9443,1786791952734,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,3,9444,1786791952769,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,3,9444,1786791952769,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,4,9445,1786791952815,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,4,9445,1786791952815,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,5,9446,1786791952847,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,5,9446,1786791952847,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_right,6,9447,1786791952855,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
sub-011_,1,mediapipe-span500,sub-011_-s1,eye_left,6,9447,1786791952855,0,no_face,roi_missing,ok,roi_missing,,1920,1080,,,,,,,,,,,,,,,
